time2,BCS,TST,count,perc
Mar-21,1.5,Plant,40,0.146520147
Mar-21,2,Plant,162,0.593406593
Mar-21,2.5,Plant,55,0.201465201
Mar-21,3,Plant,10,0.036630037
Mar-21,3.5,Plant,1,0.003663004
May-20,1,Plant,3,0.01
May-20,1.5,Plant,57,0.19
May-20,2,Plant,112,0.373333333
May-20,2.5,Plant,96,0.32
May-20,3,Plant,32,0.106666667
May-21,1,Plant,4,0.015625
May-21,1.5,Plant,45,0.17578125
May-21,2,Plant,135,0.52734375
May-21,2.5,Plant,58,0.2265625
May-21,3,Plant,13,0.05078125
May-21,3.5,Plant,1,0.00390625
Nov-20,1,Plant,3,0.008955224
Nov-20,1.5,Plant,148,0.441791045
Nov-20,2,Plant,116,0.346268657
Nov-20,2.5,Plant,44,0.131343284
Nov-20,3,Plant,18,0.053731343
Nov-20,3.5,Plant,6,0.017910448
Oct-20,1,Plant,23,0.110576923
Oct-20,1.5,Plant,108,0.519230769
Oct-20,2,Plant,44,0.211538462
Oct-20,2.5,Plant,20,0.096153846
Oct-20,3,Plant,10,0.048076923
Oct-20,3.5,Plant,3,0.014423077
Sep-20,1,Plant,16,0.066115702
Sep-20,1.5,Plant,120,0.495867769
Sep-20,2,Plant,61,0.252066116
Sep-20,2.5,Plant,35,0.144628099
Sep-20,3,Plant,9,0.037190083
Sep-20,3.5,Plant,1,0.004132231
