Treatment,kg,Plant,TST-Group
PDTST,1.6,Viscum rotundifolium,TST-Plant
PDTST,1.8,Terminalia sericea,TST-Plant
Whole herd,7.6,Viscum rotundifolium,TST-Drug
Whole herd,0,Terminalia sericea,TST-Drug
